method,channel,level,mode,outcome,n_scenarios,power,false_alarm_rate,median_delay_buckets,median_onset_error_buckets,window_coverage_rate
cusum,hhi,0,additive_trades,No,4,0.25,0.0,21.0,-22.0,1.0
cusum,hhi,0,additive_trades,Yes,4,0.0,0.0,,,
cusum,hhi,0,direction_tilt_same_count,No,4,0.25,0.0,24.0,-22.0,1.0
cusum,hhi,0,direction_tilt_same_count,Yes,4,0.25,0.0,19.0,-22.0,1.0
cusum,hhi,0,null,,4,,0.25,,,
cusum,hhi,0,size_tilt,No,4,0.75,0.0,16.0,-11.0,1.0
cusum,hhi,0,size_tilt,Yes,4,0.75,0.0,18.0,-11.0,1.0
cusum,hhi,0,wallet_concentration_only,No,4,0.75,0.0,12.0,-11.0,1.0
cusum,hhi,0,wallet_concentration_only,Yes,4,0.75,0.0,12.0,-11.0,1.0
cusum,hhi,1,additive_trades,No,4,0.25,0.0,30.0,-18.0,1.0
cusum,hhi,1,additive_trades,Yes,4,0.0,0.0,,,
cusum,hhi,1,direction_tilt_same_count,No,4,0.25,0.0,30.0,-18.0,1.0
cusum,hhi,1,direction_tilt_same_count,Yes,4,0.25,0.0,34.0,-18.0,1.0
cusum,hhi,1,null,,4,,0.0,,,
cusum,hhi,1,size_tilt,No,4,0.5,0.0,10.0,-16.0,1.0
cusum,hhi,1,size_tilt,Yes,4,0.75,0.0,16.0,-14.0,1.0
cusum,hhi,1,wallet_concentration_only,No,4,1.0,0.0,13.0,-8.5,1.0
cusum,hhi,1,wallet_concentration_only,Yes,4,1.0,0.0,13.0,-8.5,1.0
cusum,hhi,2,additive_trades,No,4,0.25,0.0,15.0,2.0,0.0
cusum,hhi,2,additive_trades,Yes,4,0.0,0.0,,,
cusum,hhi,2,direction_tilt_same_count,No,4,0.25,0.0,34.0,2.0,0.0
cusum,hhi,2,direction_tilt_same_count,Yes,4,0.25,0.0,35.0,5.0,0.0
cusum,hhi,2,null,,4,,0.0,,,
cusum,hhi,2,size_tilt,No,4,1.0,0.0,5.5,-1.0,0.75
cusum,hhi,2,size_tilt,Yes,4,0.75,0.0,19.0,0.0,0.6666666666666666
cusum,hhi,2,wallet_concentration_only,No,4,1.0,0.0,4.5,-1.0,0.75
cusum,hhi,2,wallet_concentration_only,Yes,4,1.0,0.0,4.5,-1.0,0.75
cusum,imbalance,0,additive_trades,No,4,0.0,0.0,,,
cusum,imbalance,0,additive_trades,Yes,4,0.25,0.0,11.0,-19.0,1.0
cusum,imbalance,0,direction_tilt_same_count,No,4,0.5,0.0,16.5,1.0,0.0
cusum,imbalance,0,direction_tilt_same_count,Yes,4,0.75,0.0,21.0,-19.0,1.0
cusum,imbalance,0,null,,4,,0.0,,,
cusum,imbalance,0,size_tilt,No,4,0.75,0.0,17.0,0.0,0.6666666666666666
cusum,imbalance,0,size_tilt,Yes,4,1.0,0.0,20.5,-11.0,1.0
cusum,imbalance,0,wallet_concentration_only,No,4,0.0,0.0,,,
cusum,imbalance,0,wallet_concentration_only,Yes,4,0.0,0.0,,,
cusum,imbalance,1,additive_trades,No,4,0.5,0.0,16.0,-6.5,0.5
cusum,imbalance,1,additive_trades,Yes,4,0.75,0.0,30.0,1.0,0.3333333333333333
cusum,imbalance,1,direction_tilt_same_count,No,4,1.0,0.0,9.0,-1.5,1.0
cusum,imbalance,1,direction_tilt_same_count,Yes,4,1.0,0.0,8.0,0.5,0.5
cusum,imbalance,1,null,,4,,0.0,,,
cusum,imbalance,1,size_tilt,No,4,1.0,0.0,6.5,-1.5,1.0
cusum,imbalance,1,size_tilt,Yes,4,1.0,0.0,5.0,-0.5,1.0
cusum,imbalance,1,wallet_concentration_only,No,4,0.0,0.0,,,
cusum,imbalance,1,wallet_concentration_only,Yes,4,0.0,0.0,,,
cusum,imbalance,2,additive_trades,No,4,0.25,0.0,8.0,-23.0,1.0
cusum,imbalance,2,additive_trades,Yes,4,0.0,0.0,,,
cusum,imbalance,2,direction_tilt_same_count,No,4,1.0,0.0,25.0,-4.5,0.75
cusum,imbalance,2,direction_tilt_same_count,Yes,4,0.5,0.0,19.0,-9.5,0.5
cusum,imbalance,2,null,,4,,0.0,,,
cusum,imbalance,2,size_tilt,No,4,1.0,0.0,15.5,-4.5,0.75
cusum,imbalance,2,size_tilt,Yes,4,1.0,0.0,19.5,0.5,0.5
cusum,imbalance,2,wallet_concentration_only,No,4,0.0,0.0,,,
cusum,imbalance,2,wallet_concentration_only,Yes,4,0.0,0.0,,,
windowed_glr,hhi,0,additive_trades,No,4,0.0,0.0,,,
windowed_glr,hhi,0,additive_trades,Yes,4,0.0,0.0,,,
windowed_glr,hhi,0,direction_tilt_same_count,No,4,0.0,0.0,,,
windowed_glr,hhi,0,direction_tilt_same_count,Yes,4,0.25,0.0,12.0,4.0,0.0
windowed_glr,hhi,0,null,,4,,0.0,,,
windowed_glr,hhi,0,size_tilt,No,4,0.5,0.0,7.5,-16.5,1.0
windowed_glr,hhi,0,size_tilt,Yes,4,0.5,0.0,18.5,-16.5,1.0
windowed_glr,hhi,0,wallet_concentration_only,No,4,0.5,0.0,6.5,-16.5,1.0
windowed_glr,hhi,0,wallet_concentration_only,Yes,4,0.5,0.0,6.5,-16.5,1.0
windowed_glr,hhi,1,additive_trades,No,4,0.0,0.0,,,
windowed_glr,hhi,1,additive_trades,Yes,4,0.0,0.0,,,
windowed_glr,hhi,1,direction_tilt_same_count,No,4,0.0,0.0,,,
windowed_glr,hhi,1,direction_tilt_same_count,Yes,4,0.25,0.0,5.0,-30.0,1.0
windowed_glr,hhi,1,null,,4,,0.0,,,
windowed_glr,hhi,1,size_tilt,No,4,0.25,0.0,4.0,-30.0,1.0
windowed_glr,hhi,1,size_tilt,Yes,4,0.25,0.0,10.0,-30.0,1.0
windowed_glr,hhi,1,wallet_concentration_only,No,4,0.25,0.0,2.0,-30.0,1.0
windowed_glr,hhi,1,wallet_concentration_only,Yes,4,0.25,0.0,2.0,-30.0,1.0
windowed_glr,hhi,2,additive_trades,No,4,0.25,0.0,36.0,34.0,0.0
windowed_glr,hhi,2,additive_trades,Yes,4,0.0,0.0,,,
windowed_glr,hhi,2,direction_tilt_same_count,No,4,0.5,0.0,22.5,-10.5,1.0
windowed_glr,hhi,2,direction_tilt_same_count,Yes,4,0.25,0.0,5.0,-4.0,1.0
windowed_glr,hhi,2,null,,4,,0.0,,,
windowed_glr,hhi,2,size_tilt,No,4,1.0,0.0,5.5,-5.0,1.0
windowed_glr,hhi,2,size_tilt,Yes,4,1.0,0.0,16.0,-5.0,1.0
windowed_glr,hhi,2,wallet_concentration_only,No,4,1.0,0.0,6.0,-5.0,1.0
windowed_glr,hhi,2,wallet_concentration_only,Yes,4,1.0,0.0,6.0,-5.0,1.0
windowed_glr,imbalance,0,additive_trades,No,4,0.25,0.0,10.0,3.0,0.0
windowed_glr,imbalance,0,additive_trades,Yes,4,0.0,0.0,,,
windowed_glr,imbalance,0,direction_tilt_same_count,No,4,0.75,0.0,6.0,1.0,0.3333333333333333
windowed_glr,imbalance,0,direction_tilt_same_count,Yes,4,0.75,0.0,9.0,-11.0,1.0
windowed_glr,imbalance,0,null,,4,,0.0,,,
windowed_glr,imbalance,0,size_tilt,No,4,0.75,0.0,5.0,-1.0,1.0
windowed_glr,imbalance,0,size_tilt,Yes,4,1.0,0.0,7.5,-9.0,1.0
windowed_glr,imbalance,0,wallet_concentration_only,No,4,0.0,0.0,,,
windowed_glr,imbalance,0,wallet_concentration_only,Yes,4,0.0,0.0,,,
windowed_glr,imbalance,1,additive_trades,No,4,0.5,0.0,21.5,17.5,0.0
windowed_glr,imbalance,1,additive_trades,Yes,4,0.0,0.0,,,
windowed_glr,imbalance,1,direction_tilt_same_count,No,4,1.0,0.0,7.0,-3.0,1.0
windowed_glr,imbalance,1,direction_tilt_same_count,Yes,4,1.0,0.0,8.5,0.5,0.5
windowed_glr,imbalance,1,null,,4,,0.0,,,
windowed_glr,imbalance,1,size_tilt,No,4,1.0,0.0,5.5,-3.0,1.0
windowed_glr,imbalance,1,size_tilt,Yes,4,1.0,0.0,5.0,-0.5,1.0
windowed_glr,imbalance,1,wallet_concentration_only,No,4,0.0,0.0,,,
windowed_glr,imbalance,1,wallet_concentration_only,Yes,4,0.0,0.0,,,
windowed_glr,imbalance,2,additive_trades,No,4,0.25,0.0,4.0,-9.0,1.0
windowed_glr,imbalance,2,additive_trades,Yes,4,0.25,0.0,4.0,-9.0,1.0
windowed_glr,imbalance,2,direction_tilt_same_count,No,4,0.75,0.0,24.0,-4.0,0.6666666666666666
windowed_glr,imbalance,2,direction_tilt_same_count,Yes,4,0.25,0.0,43.0,25.0,0.0
windowed_glr,imbalance,2,null,,4,,0.25,,,
windowed_glr,imbalance,2,size_tilt,No,4,0.5,0.0,11.5,-6.5,1.0
windowed_glr,imbalance,2,size_tilt,Yes,4,0.0,0.0,,,
windowed_glr,imbalance,2,wallet_concentration_only,No,4,0.25,0.0,4.0,-9.0,1.0
windowed_glr,imbalance,2,wallet_concentration_only,Yes,4,0.25,0.0,4.0,-9.0,1.0
