scope,block,stratum,instances,metric,count,rate,note
canonical_run,recall_by_n_trades_mle,1-2,6,mag_rejected,0,0.0,
canonical_run,recall_by_n_trades_mle,1-2,6,dir_rejected,0,0.0,
canonical_run,recall_by_n_trades_mle,1-2,6,union_rejected,0,0.0,
canonical_run,recall_by_n_trades_mle,1-2,6,magnitude_top10,1,0.1667,
canonical_run,recall_by_n_trades_mle,3-6,11,mag_rejected,10,0.9091,
canonical_run,recall_by_n_trades_mle,3-6,11,dir_rejected,0,0.0,
canonical_run,recall_by_n_trades_mle,3-6,11,union_rejected,10,0.9091,
canonical_run,recall_by_n_trades_mle,3-6,11,magnitude_top10,11,1.0,
canonical_run,recall_by_n_trades_mle,7-15,8,mag_rejected,7,0.875,
canonical_run,recall_by_n_trades_mle,7-15,8,dir_rejected,0,0.0,
canonical_run,recall_by_n_trades_mle,7-15,8,union_rejected,7,0.875,
canonical_run,recall_by_n_trades_mle,7-15,8,magnitude_top10,8,1.0,
canonical_run,recall_by_n_trades_mle,16-40,19,mag_rejected,3,0.1579,
canonical_run,recall_by_n_trades_mle,16-40,19,dir_rejected,9,0.4737,
canonical_run,recall_by_n_trades_mle,16-40,19,union_rejected,10,0.5263,
canonical_run,recall_by_n_trades_mle,16-40,19,magnitude_top10,19,1.0,
canonical_run,recall_by_n_trades_mle,41-100,50,mag_rejected,27,0.54,
canonical_run,recall_by_n_trades_mle,41-100,50,dir_rejected,49,0.98,
canonical_run,recall_by_n_trades_mle,41-100,50,union_rejected,49,0.98,
canonical_run,recall_by_n_trades_mle,41-100,50,magnitude_top10,50,1.0,
canonical_run,recall_by_n_trades_mle,101+,72,mag_rejected,61,0.8472,
canonical_run,recall_by_n_trades_mle,101+,72,dir_rejected,69,0.9583,
canonical_run,recall_by_n_trades_mle,101+,72,union_rejected,69,0.9583,
canonical_run,recall_by_n_trades_mle,101+,72,magnitude_top10,69,0.9583,
canonical_run,recall_by_level_and_mode,L0 x additive_trades,6,mag_rejected,4,0.6667,
canonical_run,recall_by_level_and_mode,L0 x additive_trades,6,dir_rejected,0,0.0,
canonical_run,recall_by_level_and_mode,L0 x additive_trades,6,union_rejected,4,0.6667,
canonical_run,recall_by_level_and_mode,L0 x additive_trades,6,magnitude_top10,4,0.6667,
canonical_run,recall_by_level_and_mode,L0 x direction_tilt_same_count,24,mag_rejected,12,0.5,
canonical_run,recall_by_level_and_mode,L0 x direction_tilt_same_count,24,dir_rejected,21,0.875,
canonical_run,recall_by_level_and_mode,L0 x direction_tilt_same_count,24,union_rejected,21,0.875,
canonical_run,recall_by_level_and_mode,L0 x direction_tilt_same_count,24,magnitude_top10,24,1.0,
canonical_run,recall_by_level_and_mode,L0 x size_tilt,24,mag_rejected,23,0.9583,
canonical_run,recall_by_level_and_mode,L0 x size_tilt,24,dir_rejected,24,1.0,
canonical_run,recall_by_level_and_mode,L0 x size_tilt,24,union_rejected,24,1.0,
canonical_run,recall_by_level_and_mode,L0 x size_tilt,24,magnitude_top10,24,1.0,
canonical_run,recall_by_level_and_mode,L1 x additive_trades,16,mag_rejected,13,0.8125,
canonical_run,recall_by_level_and_mode,L1 x additive_trades,16,dir_rejected,1,0.0625,
canonical_run,recall_by_level_and_mode,L1 x additive_trades,16,union_rejected,13,0.8125,
canonical_run,recall_by_level_and_mode,L1 x additive_trades,16,magnitude_top10,15,0.9375,
canonical_run,recall_by_level_and_mode,L1 x direction_tilt_same_count,24,mag_rejected,5,0.2083,
canonical_run,recall_by_level_and_mode,L1 x direction_tilt_same_count,24,dir_rejected,21,0.875,
canonical_run,recall_by_level_and_mode,L1 x direction_tilt_same_count,24,union_rejected,21,0.875,
canonical_run,recall_by_level_and_mode,L1 x direction_tilt_same_count,24,magnitude_top10,24,1.0,
canonical_run,recall_by_level_and_mode,L1 x size_tilt,24,mag_rejected,23,0.9583,
canonical_run,recall_by_level_and_mode,L1 x size_tilt,24,dir_rejected,24,1.0,
canonical_run,recall_by_level_and_mode,L1 x size_tilt,24,union_rejected,24,1.0,
canonical_run,recall_by_level_and_mode,L1 x size_tilt,24,magnitude_top10,24,1.0,
canonical_run,recall_by_level_and_mode,L2 x additive_trades,3,mag_rejected,1,0.3333,
canonical_run,recall_by_level_and_mode,L2 x additive_trades,3,dir_rejected,0,0.0,
canonical_run,recall_by_level_and_mode,L2 x additive_trades,3,union_rejected,1,0.3333,
canonical_run,recall_by_level_and_mode,L2 x additive_trades,3,magnitude_top10,1,0.3333,
canonical_run,recall_by_level_and_mode,L2 x direction_tilt_same_count,21,mag_rejected,8,0.381,
canonical_run,recall_by_level_and_mode,L2 x direction_tilt_same_count,21,dir_rejected,12,0.5714,
canonical_run,recall_by_level_and_mode,L2 x direction_tilt_same_count,21,union_rejected,13,0.619,
canonical_run,recall_by_level_and_mode,L2 x direction_tilt_same_count,21,magnitude_top10,18,0.8571,
canonical_run,recall_by_level_and_mode,L2 x size_tilt,24,mag_rejected,19,0.7917,
canonical_run,recall_by_level_and_mode,L2 x size_tilt,24,dir_rejected,24,1.0,
canonical_run,recall_by_level_and_mode,L2 x size_tilt,24,union_rejected,24,1.0,
canonical_run,recall_by_level_and_mode,L2 x size_tilt,24,magnitude_top10,24,1.0,
canonical_run,negative_control,wallet_concentration_only,6,mag_rejected,0,0.0,
canonical_run,negative_control,wallet_concentration_only,6,dir_rejected,0,0.0,
canonical_run,negative_control,wallet_concentration_only,6,union_rejected,0,0.0,
